load_center_id,province_code,province_name_en,province_name_zh,city_name_zh,source_city_code,lon,lat,annual_demand_share_in_province,annual_city_power_mwh,electricity_weight_method,center_method,load_center_method,demand_share_source,scenario_status,annual_city_power_share_in_province,monthly_weight_mean,city_area_km2,county_count,urban_population,total_population,electricity_weight_year,population_source_note,substation_count_220kv_plus,voltage_weighted_substation_units,maximum_substation_voltage_kv,substations_per_10000_km2,voltage_weighted_units_per_10000_km2,substation_count_share_in_province,voltage_weight_share_in_province,substation_density_role
LC_156140800,14,Shanxi,山西,运城,156140800,110.95266090865988,35.19432190892582,0.057479718276741,291.2765331002687,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.057479718276741,0.0574978933581999,14180.138432454236,13,2352523.0,4774508.0,2022,county urban population field; source year follows local population shapefile metadata,12.0,15.818181818181818,500.0,8.462540797581687,11.15516741499404,0.1025641025641025,0.0921122286924298,validation_and_sensitivity_only_not_primary_load_weight
LC_156140900,14,Shanxi,山西,忻州,156140900,112.52122665959035,38.77839636498186,0.0407743283416057,206.6225332151772,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0407743283416057,0.0407868373921654,25162.0408471617,14,1437616.0,2672618.0,2022,county urban population field; source year follows local population shapefile metadata,16.0,19.81818181818182,500.0,6.358784685704384,7.876221940247477,0.1367521367521367,0.1154049761778718,validation_and_sensitivity_only_not_primary_load_weight
LC_156141000,14,Shanxi,山西,临汾,156141000,111.48410267001404,36.11734846666359,0.0500295453267193,253.52303303209212,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0500295453267193,0.0499506590851324,20287.14260426748,17,2114457.0,3976481.0,2022,county urban population field; source year follows local population shapefile metadata,12.0,13.272727272727272,500.0,5.91507647680051,6.542433072824807,0.1025641025641025,0.077289571201694,validation_and_sensitivity_only_not_primary_load_weight
LC_156141100,14,Shanxi,山西,吕梁,156141100,111.41473324602596,37.487949851231576,0.0525647473809703,266.37008390863974,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0525647473809703,0.0524826728054155,21062.48001050041,13,1811822.0,3398431.0,2022,county urban population field; source year follows local population shapefile metadata,2.0,3.272727272727273,500.0,0.9495557973244022,1.553818577439931,0.017094017094017,0.0190577024880889,validation_and_sensitivity_only_not_primary_load_weight
LC_156150100,15,Inner Mongolia,内蒙古,呼和浩特,156150100,111.72948153584149,40.79176853231885,0.0458846174600433,179.7255855973753,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0458846174600433,0.0516160606296712,17159.4524178497,9,2591367.0,3309950.0,2022,county urban population field; source year follows local population shapefile metadata,44.0,54.18181818181819,500.0,25.64184388205189,31.5754937059978,0.0592193808882907,0.0605137577419027,validation_and_sensitivity_only_not_primary_load_weight
LC_156150200,15,Inner Mongolia,内蒙古,包头,156150200,109.96113697879436,40.69831241875342,0.1981141412345922,775.9938301657271,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1981141412345922,0.2230301748534858,27572.68674026456,9,2157474.0,2525251.0,2022,county urban population field; source year follows local population shapefile metadata,87.0,97.1818181818182,500.0,31.55296428655731,35.24568319992661,0.117092866756393,0.108538937963245,validation_and_sensitivity_only_not_primary_load_weight
LC_156150300,15,Inner Mongolia,内蒙古,乌海,156150300,106.82269736274114,39.582625389576094,0.0655697283666934,256.8302511931564,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0655697283666934,0.0737565791521926,1660.752316728551,3,530877.0,556621.0,2022,county urban population field; source year follows local population shapefile metadata,26.0,29.81818181818182,500.0,156.55555460079893,179.54623045126593,0.034993270524899,0.0333028733881612,validation_and_sensitivity_only_not_primary_load_weight
LC_156150400,15,Inner Mongolia,内蒙古,赤峰,156150400,118.94911696616852,42.628052688454034,0.0276162603015461,108.17020669349716,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0276162603015461,0.0309575758733987,86953.6415658799,12,2143486.0,4035967.0,2022,county urban population field; source year follows local population shapefile metadata,43.0,46.81818181818182,500.0,4.945163793677499,5.38426924681588,0.0578734858681022,0.052289572545436,validation_and_sensitivity_only_not_primary_load_weight
LC_156150500,15,Inner Mongolia,内蒙古,通辽,156150500,121.62431018600812,43.839641529065474,0.1172975766484662,459.4432038287434,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1172975766484662,0.1319057332934425,58836.897066749465,8,1269610.0,2670025.0,2022,county urban population field; source year follows local population shapefile metadata,81.0,92.54545454545456,800.0,13.766871476601985,15.729152820629425,0.1090174966352624,0.1033607472839882,validation_and_sensitivity_only_not_primary_load_weight
LC_156150600,15,Inner Mongolia,内蒙古,鄂尔多斯,156150600,109.58667100778264,39.66014456248833,0.2089397625997416,818.3967365646134,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.2089397625997416,0.2350064807083614,86853.38328547974,9,1667962.0,2153638.0,2022,county urban population field; source year follows local population shapefile metadata,114.0,144.0909090909091,1000.0,13.125568134207464,16.590131971865098,0.1534320323014804,0.1609300436592547,validation_and_sensitivity_only_not_primary_load_weight
