load_center_id,connected_substation_count,active_substation_count,connected_vre_nameplate_gw,existing_dpv_local_gw,simultaneous_nameplate_interface_capacity_gw,province_code,province_name_en,province_name_zh,city_name_zh,lon,lat,annual_demand_share_in_province,initial_capacity_method
LC_156410500,26.0,6.0,2.75152384,2.4516115629999997,2.75152384,41,Henan,河南,安阳,114.32833701195769,35.95492671132825,0.0570164846724394,simultaneous_2025_nameplate_stress_city337_route
LC_156410600,14.0,7.0,2.2426157,1.4879107869999997,2.2426157,41,Henan,河南,鹤壁,114.36871600000006,35.640444500187755,0.0285721534735969,simultaneous_2025_nameplate_stress_city337_route
LC_156410700,27.0,6.0,1.0990454479999998,0.8614700479999999,1.0990454479999998,41,Henan,河南,新乡,114.06642277340492,35.277821113426405,0.062246528945914,simultaneous_2025_nameplate_stress_city337_route
LC_156410800,42.0,6.0,0.528423396,1.4631983829999997,0.528423396,41,Henan,河南,焦作,113.13588287022212,35.13526877407565,0.0621066374219702,simultaneous_2025_nameplate_stress_city337_route
LC_156410900,21.0,8.0,2.28895956,0.5421112069999999,2.28895956,41,Henan,河南,濮阳,115.2022776895333,35.791982655599874,0.0395209878997346,simultaneous_2025_nameplate_stress_city337_route
LC_156411000,17.0,5.0,7.641453696,0.959752673,7.641453696,41,Henan,河南,许昌,113.72057349028668,34.085303447565096,0.0439249459616097,simultaneous_2025_nameplate_stress_city337_route
LC_156411100,20.0,4.0,1.3178274289999998,0.638550222,1.3178274289999998,41,Henan,河南,漯河,113.93000363241394,33.64915152908815,0.0367856649258331,simultaneous_2025_nameplate_stress_city337_route
LC_156411200,31.0,7.0,1.7157238849999998,9.028810436,1.7157238849999998,41,Henan,河南,三门峡,111.27202341070254,34.5760291838153,0.0386755211408669,simultaneous_2025_nameplate_stress_city337_route
LC_156411300,39.0,12.0,2.3870715340000004,0.2386824179999999,2.3870715340000004,41,Henan,河南,南阳,112.39936412564168,32.95655078119953,0.0673273078022331,simultaneous_2025_nameplate_stress_city337_route
LC_156411400,28.0,6.0,2.1032325889999997,1.2456829579999997,2.1032325889999997,41,Henan,河南,商丘,115.6916367685468,34.28230865003694,0.0521140222424312,simultaneous_2025_nameplate_stress_city337_route
