intra_edge_id,province_code,from_load_center_id,to_load_center_id,distance_km,technology,reference_capacity_gw,unit_cost_yuan_per_kw,initial_capacity_gw,candidate_method,distance_validity,initial_capacity_method
INTRA_14_LC_156140300_LC_156140900,14,LC_156140300,LC_156140900,130.81050278319285,AC_500kV,2.8219586278173248,281.3759001792085,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140400_LC_156140500,14,LC_156140400,LC_156140500,85.29593721837,AC_500kV,2.9894425249184033,234.32550714038,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140400_LC_156140700,14,LC_156140400,LC_156140700,121.10869116147539,AC_500kV,2.873225305403774,270.2780623451191,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140400_LC_156140800,14,LC_156140400,LC_156140800,225.1948826276174,AC_500kV,2.3865104637575474,408.11455414314435,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140400_LC_156141000,14,LC_156140400,LC_156141000,140.43671741586328,AC_500kV,2.772381341801282,292.7308574357206,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140500_LC_156140800,14,LC_156140500,LC_156140800,172.2515118540208,AC_500kV,2.6172653138866244,332.74776217063095,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140500_LC_156141000,14,LC_156140500,LC_156141000,132.70339633127077,AC_500kV,2.812109331433736,283.581559613807,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140600_LC_156140900,14,LC_156140600,LC_156140900,86.00587062542779,AC_500kV,2.9894425249184033,234.95245486692434,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140700_LC_156141100,14,LC_156140700,LC_156141100,108.52941599000076,AC_500kV,2.9416961070849608,256.3987957231664,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_14_LC_156140800_LC_156141000,14,LC_156140800,LC_156141000,113.31158731136206,AC_500kV,2.915395993252142,261.6078759778703,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
